discounted_reward,final_state_type,free_space_estimate,git_commit_id,hist_validation_hash,i_run,median_planning_time,median_prediction_time,median_updater_time,n_close,n_steps,pi_key,planner_hbm_key,simulation_hbm_key,solver_setup_key,undiscounted_reward,combined_median_time,normalized_discounted_reward
-41.29632180625151,success,-18.20930624027691,dcdd3e8ad0162d692145134a64a0b81109e09d93,6126056953384748e3,423,0.012259177,0.012454435,0.009710368,0,53,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-53,0.03442398,-23.087015565974603
-36.381451393612856,success,-22.217864060085315,dcdd3e8ad0162d692145134a64a0b81109e09d93,7487042438943484e3,443,0.261599199,0,0.016889895,0,45,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-45,0.278489094,-14.163587333527541
-31.055091413092182,success,-22.217864060085315,dcdd3e8ad0162d692145134a64a0b81109e09d93,10453418238125615e3,443,0.03345135,0.012007707,0.00937448,0,37,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-37,0.054833536999999995,-8.837227353006867
-27.50196640421462,success,-7.72553055720799,dcdd3e8ad0162d692145134a64a0b81109e09d93,2679222634433919500,463,0.248198551,0,0.0096690015,0,32,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-32,0.2578675525,-19.77643584700663
-26.029962661171943,success,-7.72553055720799,dcdd3e8ad0162d692145134a64a0b81109e09d93,864597795315327600,463,0.0077617455,0.0120335205,0.009541696499999999,0,30,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-30,0.0293369625,-18.304432103963954
-26.029962661171943,success,-14.854222890512437,dcdd3e8ad0162d692145134a64a0b81109e09d93,13259295264115288e3,483,0.223192281,0,0.009059568,0,30,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-30,0.23225184899999998,-11.175739770659506
-37.01763687967673,success,-14.854222890512437,dcdd3e8ad0162d692145134a64a0b81109e09d93,1060105894695261e4,483,0.031996737,0.011933158,0.0096905215,0,46,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-46,0.0536204165,-22.16341398916429
-33.102824143031924,success,-22.217864060085315,dcdd3e8ad0162d692145134a64a0b81109e09d93,10910295315186364e3,503,0.26587250949999996,0,0.0095532095,0,40,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-40,0.27542571899999996,-10.884960082946609
-29.65523050004304,success,-22.217864060085315,dcdd3e8ad0162d692145134a64a0b81109e09d93,1256769139959403e4,503,0.002805651,0.01295128,0.012696887,0,35,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-35,0.028453818,-7.437366439957724
-60.331099122471656,success,-23.765728565289617,dcdd3e8ad0162d692145134a64a0b81109e09d93,4573533337919151600,523,0.264434689,0,0.009238114,1,61,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-81,0.273672803,-36.565370557182035
